Feature ID	Taxon	Confidence
021408f68ac3d943f7e16261373b2a61	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
047702f9b44d31fdb62bce06b2cac9e0	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	82
070e52443d30c5d9e99c8cb06412db1a	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
07b2978940b50886f3866b04b7f982cf	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus agalactiae	100
09a8fa70427aa68f16934c729b826071	d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__Collinsella sp900764415	92
0bf3e0641c88ec588bc66b567c3fa63d	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Escherichia-Shigella coli	96
0ccaf57fc10e3ca943b9911e91c05de1	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
0ed2d53fd823b2ef922b6f349cade1cd	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__Neisseria_563205; s__Neisseria_563205 meningitidis	100
10cb90d33181cfa745c214b990e76bcb	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	53
124ca3ffbe29118b706e1b39ef6b6da3	d__Bacteria; p__Bacillota; c__Bacilli; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified	67
13bc41e35faa4f40a01de5a972c0c4ac	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Escherichia-Shigella coli	87
1f1158dbb4126e5a7f04094b61700493	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
21b49156bf40185385c31d7db91a5ad5	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	46
24a6e17e8ed2f5c1f3eed2da326429c2	d__Bacteria; p__Bacillota; c__Bacilli; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified	53
26cfdb2bcbd3a64a84e9b237d94a97eb	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_H_360604; s__Enterococcus_H_360604 faecalis	100
27be187284317979c93fd2218ee3722e	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus	100
28942fb2b2070c5992fe7b5c635a63d5	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Unclassified	77
2f66c5bd318dfac1e9738ffd54ca88b8	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
339aac7377a0d948a52bc0b2bf3dfda8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	100
34b695df3f78278d604299f2c4adc80c	d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus_B; s__Deinococcus_B radiodurans	100
34babcf1732962962d2fbbbadf3af637	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus epidermidis	100
366cd020bba4cf974dcb60340a09984e	d__Bacteria; p__Bacillota; c__Bacilli; o__Unclassified; f__Unclassified; g__Unclassified; s__Unclassified	46
37d8a0129a66ddba216a600739d34631	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
3b44c0cd22f7eeac2386b9f2d475930a	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__Unclassified	55
3b7e53074971661c889ee364744f11a0	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus mutans	100
3cc006600b219858ac3c647f2613a32a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola_A; s__Phocaeicola_A vulgatus	100
3ed60aaf098f5005d0daddbc9fde567b	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Unclassified	64
3feab8f97f15836d17829bc4ea074162	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Clostridiales; f__Clostridiaceae_222000; g__Clostridium_T; s__Clostridium_T beijerinckii	100
45ac624a36a35c7f002f5b23a1a6b316	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Unclassified	53
4bec1cb362f10c0518dae936b3032c6f	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus	100
