Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
021408f68ac3d943f7e16261373b2a61	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	54	GTDB r207
047702f9b44d31fdb62bce06b2cac9e0	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	99	99	99	99	GTDB r207
070e52443d30c5d9e99c8cb06412db1a	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	79	GTDB r207
07b2978940b50886f3866b04b7f982cf	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	100	100	100	100	100	100	100	GTDB r207
09a8fa70427aa68f16934c729b826071	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900764415	100	92	92	92	92	92	92	GTDB r207
0bf3e0641c88ec588bc66b567c3fa63d	Bacteria	NA	NA	NA	NA	NA	NA	100	68	68	38	38	38	38	GTDB r207
0ccaf57fc10e3ca943b9911e91c05de1	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	69	GTDB r207
0ed2d53fd823b2ef922b6f349cade1cd	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria meningitidis	100	100	100	100	100	100	99	GTDB r207
10cb90d33181cfa745c214b990e76bcb	Bacteria	NA	NA	NA	NA	NA	NA	100	23	17	17	17	17	17	GTDB r207
124ca3ffbe29118b706e1b39ef6b6da3	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	81	81	46	46	46	8	GTDB r207
13bc41e35faa4f40a01de5a972c0c4ac	Bacteria	NA	NA	NA	NA	NA	NA	100	74	74	55	55	55	55	GTDB r207
1f1158dbb4126e5a7f04094b61700493	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	78	GTDB r207
21b49156bf40185385c31d7db91a5ad5	Bacteria	NA	NA	NA	NA	NA	NA	100	70	70	70	70	70	32	GTDB r207
24a6e17e8ed2f5c1f3eed2da326429c2	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	86	86	48	48	48	48	GTDB r207
26cfdb2bcbd3a64a84e9b237d94a97eb	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	100	100	100	100	100	100	100	GTDB r207
27be187284317979c93fd2218ee3722e	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	51	51	51	51	GTDB r207
28942fb2b2070c5992fe7b5c635a63d5	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	96	96	96	96	96	62	GTDB r207
2f66c5bd318dfac1e9738ffd54ca88b8	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	70	GTDB r207
339aac7377a0d948a52bc0b2bf3dfda8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
34b695df3f78278d604299f2c4adc80c	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	100	100	100	100	100	100	100	GTDB r207
34babcf1732962962d2fbbbadf3af637	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	100	GTDB r207
366cd020bba4cf974dcb60340a09984e	Bacteria	NA	NA	NA	NA	NA	NA	100	10	8	5	5	5	5	GTDB r207
37d8a0129a66ddba216a600739d34631	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii E	100	100	100	100	100	100	80	GTDB r207
3b44c0cd22f7eeac2386b9f2d475930a	Bacteria	NA	NA	NA	NA	NA	NA	100	34	34	34	34	34	34	GTDB r207
3b7e53074971661c889ee364744f11a0	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
3cc006600b219858ac3c647f2613a32a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
3ed60aaf098f5005d0daddbc9fde567b	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	93	93	80	80	80	64	GTDB r207
3feab8f97f15836d17829bc4ea074162	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	72	GTDB r207
45ac624a36a35c7f002f5b23a1a6b316	Bacteria	NA	NA	NA	NA	NA	NA	100	77	77	77	77	77	7	GTDB r207
4bec1cb362f10c0518dae936b3032c6f	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	25	25	25	25	GTDB r207
4c67b666ce2da2054aec0ba50dd1e494	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
51bf2b5ba471e475d319ebc31244d7d3	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	80	80	42	42	42	3	GTDB r207
51d51e872348c3c5e3b70be7f91c4a32	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	100	100	100	100	100	100	100	GTDB r207
5b75e6541f733937c56e8874e69dcfe1	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
5d3b0067e81ed549b2d082fd7d1c905d	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
5fd2fe686298c1abbb25c0926788fd9c	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	85	85	75	75	75	2	GTDB r207
601f48ebb8de230104ce2f01ec500ab5	Bacteria	Pseudomonadota	NA	NA	NA	NA	NA	100	84	45	45	45	45	45	GTDB r207
61de72098cbf9f693f09c863d1c5a586	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	100	100	100	100	100	100	100	GTDB r207
62c26e69cf275b3cba144ba4935a8851	Bacteria	NA	NA	NA	NA	NA	NA	100	71	71	71	71	71	10	GTDB r207
7809550a0f7794b926ffcebad7542089	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	62	GTDB r207
7932226c8cd025d2ea117b03d48f63e8	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	68	GTDB r207
7983269916ac14fd4655f0a0c60f8694	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	100	100	100	100	100	100	100	GTDB r207
7cf149ca79aa40a78b8cec6f966ce7de	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
7dcace79bc8188077e07b0085aa57b7f	Bacteria	NA	NA	NA	NA	NA	NA	100	21	19	19	19	19	19	GTDB r207
8348a732f75c6a0439af2ebffbac5ff1	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	79	GTDB r207
883b42d8150d15b972b196ebd6e10559	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
8f0af3a2874a69b48d3d7b737c64f06e	Bacteria	NA	NA	NA	NA	NA	NA	100	72	72	61	61	61	4	GTDB r207
913abfe7ecfd10c4eb54ea1dea67f07c	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	NA	100	100	100	100	100	100	68	GTDB r207
92bcc461c3dbfbeb88759ada02f95a6b	Bacteria	NA	NA	NA	NA	NA	NA	100	28	25	20	20	20	20	GTDB r207
985d4a0d4d7e7d255af6a92044ae5901	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	39	39	39	39	GTDB r207
994cb47a2b400e6185743e1765244faf	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	41	41	41	41	GTDB r207
9eda36e35469eb0ba4b8045fa7acabd0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
9f3938b0148e6fa857077444480b6fd3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
9fc4609d84db9e441de7db46d7172ae4	Bacteria	NA	NA	NA	NA	NA	NA	100	45	45	45	45	45	45	GTDB r207
a0530711bdec8d611872863731f96dde	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
a0ec2668157ffb2374ece8cad58ecc5f	Bacteria	NA	NA	NA	NA	NA	NA	100	74	21	20	20	20	20	GTDB r207
a4fae72fe89706a73b6dfdd8c57ef578	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
a5eb8b5609e1fc4e2e9a4827238b3841	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	98	98	97	97	97	97	GTDB r207
a8f0a9703e902a87d6be02364e684c50	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	76	GTDB r207
aab4d379026eb5e6a7e2b32ec4c715e7	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	94	GTDB r207
aaf82c612373bafcef3509b72ee24809	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	55	GTDB r207
ab7b075defafff44a4a65247a9e21152	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
ad20976e0e8c7e5adcb7f11b5fcf7830	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	100	100	100	100	100	100	100	GTDB r207
b2ef16dee036f7ce8b9b74a7234111c1	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	57	GTDB r207
b56b7466c84c7ca53aa71e4ce25f61b0	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	100	100	100	100	100	100	92	GTDB r207
b80a1bd6b19379171cafb03a4ddb26a3	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter_A	NA	100	100	100	100	100	100	76	GTDB r207
bc7d5e82dae59e2e5e8321bb5c5eae4b	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	100	100	100	100	100	100	100	GTDB r207
bd05526ece955ce8ba6e2c25b383446b	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	85	GTDB r207
bd811a69c8a63e6a41e89c820bfceab1	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	76	GTDB r207
c0089458dae2c0559162e58eb2661873	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA	NA	100	82	82	73	73	73	49	GTDB r207
cd1af128eb857acddb168e57245021ec	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	100	100	100	96	96	96	94	GTDB r207
ce924304412f4e0e43e7a04b5fc1ad42	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	NA	100	81	81	80	80	80	6	GTDB r207
d3eab112b21cbea371f808f940fa4b0c	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	100	100	100	100	100	100	95	GTDB r207
d4ab76572a254156741c2fc58201b6fa	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	83	83	58	58	58	43	GTDB r207
d5cb708aa8b5ddc54ca7e0528124fe20	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	100	100	100	100	100	100	100	GTDB r207
d669559001b98da82874fac6581afc1c	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii E	100	100	100	100	100	100	87	GTDB r207
