Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
021408f68ac3d943f7e16261373b2a61	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	41	RefSeq + RDP
047702f9b44d31fdb62bce06b2cac9e0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	100	100	100	100	100	100	20	RefSeq + RDP
070e52443d30c5d9e99c8cb06412db1a	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	31	RefSeq + RDP
07b2978940b50886f3866b04b7f982cf	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	100	100	100	100	100	100	47	RefSeq + RDP
09a8fa70427aa68f16934c729b826071	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	42	17	RefSeq + RDP
0bf3e0641c88ec588bc66b567c3fa63d	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	69	54	RefSeq + RDP
0ccaf57fc10e3ca943b9911e91c05de1	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	32	RefSeq + RDP
0ed2d53fd823b2ef922b6f349cade1cd	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	meningitidis	100	100	100	100	100	100	95	RefSeq + RDP
10cb90d33181cfa745c214b990e76bcb	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	100	100	100	100	100	100	99	RefSeq + RDP
124ca3ffbe29118b706e1b39ef6b6da3	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	100	100	100	100	63	63	54	RefSeq + RDP
13bc41e35faa4f40a01de5a972c0c4ac	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	100	100	100	100	100	69	57	RefSeq + RDP
1f1158dbb4126e5a7f04094b61700493	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	26	RefSeq + RDP
21b49156bf40185385c31d7db91a5ad5	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	cereus	100	100	100	100	100	100	100	RefSeq + RDP
24a6e17e8ed2f5c1f3eed2da326429c2	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	100	100	100	100	47	47	27	RefSeq + RDP
26cfdb2bcbd3a64a84e9b237d94a97eb	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis	100	100	100	100	100	100	90	RefSeq + RDP
27be187284317979c93fd2218ee3722e	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	32	RefSeq + RDP
28942fb2b2070c5992fe7b5c635a63d5	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	NA	100	100	100	100	100	100	60	RefSeq + RDP
2f66c5bd318dfac1e9738ffd54ca88b8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	100	100	100	100	100	100	24	RefSeq + RDP
339aac7377a0d948a52bc0b2bf3dfda8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales		Phocaeicola	vulgatus	100	100	100	100	100	100	90	RefSeq + RDP
