Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
021408f68ac3d943f7e16261373b2a61	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	100	100	100	100	100	100	100	Silva 138.1
047702f9b44d31fdb62bce06b2cac9e0	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	78	78	78	69	Silva 138.1
070e52443d30c5d9e99c8cb06412db1a	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	100	100	100	100	100	100	100	Silva 138.1
07b2978940b50886f3866b04b7f982cf	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	100	100	100	100	100	100	100	Silva 138.1
09a8fa70427aa68f16934c729b826071	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella coli	100	100	100	100	100	100	100	Silva 138.1
0bf3e0641c88ec588bc66b567c3fa63d	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella coli	100	100	100	100	100	100	96	Silva 138.1
0ccaf57fc10e3ca943b9911e91c05de1	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	100	100	100	100	100	100	100	Silva 138.1
0ed2d53fd823b2ef922b6f349cade1cd	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria meningitidis	100	100	100	100	100	100	100	Silva 138.1
10cb90d33181cfa745c214b990e76bcb	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	100	100	100	100	100	100	53	Silva 138.1
124ca3ffbe29118b706e1b39ef6b6da3	Bacteria	Bacillota	Bacilli	NA	NA	NA	NA	100	100	100	67	67	67	29	Silva 138.1
13bc41e35faa4f40a01de5a972c0c4ac	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella coli	100	100	100	100	100	100	87	Silva 138.1
1f1158dbb4126e5a7f04094b61700493	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	100	100	100	100	100	100	100	Silva 138.1
