sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
bc1005_bc1056	10932	10617	97.12	10533	10533	96.35
bc1005_bc1057	11210	10893	97.17	10823	10821	96.53
bc1005_bc1062	10626	10335	97.26	10277	10275	96.7
bc1005_bc1075	11019	10700	97.11	10634	10634	96.51
bc1005_bc1100	10110	9816	97.09	9749	9745	96.39
bc1007_bc1075	11297	10932	96.77	10874	10874	96.26
bc1020_bc1059	11058	10709	96.84	10652	10652	96.33
bc1024_bc1111	10310	10029	97.27	9959	9957	96.58
