	16s_mas12_part_242	16s_mas12_part_238	16s_mas12_part_235	16s_mas12_part_025	16s_mas12_part_257	16s_mas12_part_256	16s_mas12_part_233	16s_mas12_part_023	16s_mas12_part_010	16s_mas12_part_247	16s_mas12_part_001	16s_mas12_part_014	16s_mas12_part_216	16s_mas12_part_229	16s_mas12_part_241	16s_mas12_part_201	16s_mas12_part_033	16s_mas12_part_031	16s_mas12_part_040	16s_mas12_part_030	16s_mas12_part_258	16s_mas12_part_037	16s_mas12_part_026	16s_mas12_part_234	16s_mas12_part_024	16s_mas12_part_236	16s_mas12_part_028	16s_mas12_part_038	16s_mas12_part_032	16s_mas12_part_039	16s_mas12_part_002	16s_mas12_part_003	16s_mas12_part_034	16s_mas12_part_261	16s_mas12_part_027	16s_mas12_part_050	16s_mas12_part_006	16s_mas12_part_044	16s_mas12_part_065	16s_mas12_part_004	16s_mas12_part_060	16s_mas12_part_054	16s_mas12_part_005	16s_mas12_part_007	16s_mas12_part_063	16s_mas12_part_070	16s_mas12_part_046	16s_mas12_part_055	16s_mas12_part_068	16s_mas12_part_008	16s_mas12_part_062	16s_mas12_part_018	16s_mas12_part_016	16s_mas12_part_035	16s_mas12_part_036	16s_mas12_part_056	16s_mas12_part_089	16s_mas12_part_041	16s_mas12_part_009	16s_mas12_part_051	16s_mas12_part_045	16s_mas12_part_208	16s_mas12_part_017	16s_mas12_part_015	16s_mas12_part_013	16s_mas12_part_213	16s_mas12_part_019	16s_mas12_part_020	16s_mas12_part_021	16s_mas12_part_221	16s_mas12_part_022	16s_mas12_part_231
16s_mas12_part_242	0.0	0.011959650152289938	0.012183195014949563	0.012714114063766171	0.011680219073965407	0.010869868946824266	0.015396652415681672	0.012797943387263531	0.012770000279431079	0.012127308799284656	0.01492161958252997	0.01626288875848772	0.014083326347556374	0.014865733366865063	0.015843742141000924	0.009696258417861234	0.01536870930784922	0.010059518819683125	0.014195098778886188	0.015228993768686954	0.014809847151200156	0.015871685248833374	0.013356805543912593	0.013552407298739766	0.013356805543912593	0.016234945650655266	0.012378796769776735	0.013328862436080141	0.013664179730069578	0.01215525190711711	0.011372844887808422	0.013831838377064297	0.012015536367954844	0.012797943387263531	0.012239081230614469	0.014111269455388828	0.012797943387263531	0.014949562690362421	0.012294967446279375	0.011428731103473328	0.012127308799284656	0.015508424847011485	0.011512560426970688	0.014781904043367704	0.011652275966132953	0.011121356917316343	0.013272976220415235	0.012546455416771454	0.013300919328247687	0.016346718081985078	0.011791991505295219	0.01975577723754436	0.012742057171598625	0.014893676474697515	0.0183027356302568	0.016514376728979797	0.012378796769776735	0.017296783748288486	0.016374661189817532	0.018190963198926983	0.013831838377064297	0.017212954424791125	0.014530416072875625	0.012490569201106546	0.013189146896917876	0.016151116327157905	0.016598206052477155	0.011484617319138234	0.011037527593818985	0.01296560203425825	0.015871685248833374	0.012015536367954844
16s_mas12_part_238	0.011959650152289938	0.0	0.011680219073965407	0.013943610808394109	0.01492161958252997	0.0098359739570235	0.017715930365775283	0.012099365691452204	0.0152010506608545	0.013105317573420516	0.013915667700561657	0.017743873473607733	0.013272976220415235	0.01673792159163942	0.016346718081985078	0.010674267191997095	0.016207002542822813	0.0134126917595775	0.017827702797105095	0.01243468298544164	0.014781904043367704	0.009360941123871798	0.01288177271076089	0.012127308799284656	0.014893676474697515	0.01601140078799564	0.01349652108307486	0.014250984994551094	0.010897812054656718	0.012574398524603906	0.012294967446279375	0.014139212563221282	0.011149300025148797	0.01019923435884539	0.009193282476877078	0.012211138122782015	0.013775952161399391	0.015424595523514125	0.012574398524603906	0.009584485986531423	0.013021488249923156	0.015564311062676391	0.013608293514404672	0.013831838377064297	0.011009584485986532	0.012742057171598625	0.014111269455388828	0.01036689300584011	0.01198759326012239	0.017157068209126217	0.015843742141000924	0.01930868751222511	0.010618380976332187	0.013608293514404672	0.01858216670858133	0.01304943135775561	0.013356805543912593	0.014250984994551094	0.01536870930784922	0.015228993768686954	0.013524464190907312	0.013328862436080141	0.013021488249923156	0.011680219073965407	0.013356805543912593	0.01439070053371336	0.015508424847011485	0.012825886495095985	0.012490569201106546	0.012099365691452204	0.014250984994551094	0.012714114063766171
16s_mas12_part_235	0.012183195014949563	0.011680219073965407	0.0	0.013524464190907312	0.012742057171598625	0.011149300025148797	0.016067287003660547	0.013384748651745047	0.015340766200016766	0.016961466454299048	0.015256936876519406	0.017408556179618298	0.016374661189817532	0.016123173219325455	0.013831838377064297	0.014167155671053734	0.018023304551932264	0.014698074719870344	0.019979322100203985	0.013943610808394109	0.016207002542822813	0.010059518819683125	0.01662614916030961	0.014558359180708079	0.017408556179618298	0.016877637130801686	0.01475396093553525	0.015704026601838658	0.011847877720960125	0.015396652415681672	0.011344901779975968	0.01679380780730433	0.01304943135775561	0.011791991505295219	0.013636236622237126	0.015899628356665828	0.01564814038617375	0.014306871210216	0.015312823092184312	0.01235085366194428	0.013384748651745047	0.015592254170508845	0.013943610808394109	0.017743873473607733	0.01492161958252997	0.014083326347556374	0.017827702797105095	0.012770000279431079	0.016849694022969236	0.018163020091094533	0.015871685248833374	0.017771816581440187	0.013887724592729203	0.015145164445189594	0.020063151423701343	0.016654092268142063	0.014642188504205438	0.01536870930784922	0.014865733366865063	0.017771816581440187	0.012406739877609188	0.014167155671053734	0.01617905943499036	0.01629083186632017	0.014781904043367704	0.014195098778886188	0.01785564590493755	0.014334814318048453	0.01304943135775561	0.014809847151200156	0.015033392013859781	0.013831838377064297
16s_mas12_part_025	0.012714114063766171	0.013943610808394109	0.013524464190907312	0.0	0.012518512308939	0.01288177271076089	0.014167155671053734	0.015536367954843937	0.0169894095621315	0.012909715818593345	0.01511722133735714	0.01939251683572247	0.016346718081985078	0.015620197278341297	0.015424595523514125	0.013552407298739766	0.019616061698382092	0.015871685248833374	0.02073378601168022	0.01617905943499036	0.015871685248833374	0.012742057171598625	0.016933523346466594	0.017324726856120937	0.014781904043367704	0.01598345768016319	0.01768798725794283	0.014474529857210719	0.013915667700561657	0.013524464190907312	0.010786039623326906	0.015312823092184312	0.013328862436080141	0.013440634867409953	0.012770000279431079	0.01601140078799564	0.018442451169419064	0.01598345768016319	0.013552407298739766	0.015256936876519406	0.013077374465588062	0.016765864699471875	0.014558359180708079	0.013971553916226563	0.015145164445189594	0.015340766200016766	0.017045295777796406	0.014865733366865063	0.015396652415681672	0.01573196970967111	0.013245033112582781	0.022186827618967783	0.015228993768686954	0.014474529857210719	0.02011903763936625	0.019699891021879454	0.012015536367954844	0.016095230111493	0.017715930365775283	0.018917484002570765	0.011875820828792578	0.014977505798194875	0.01313326068125297	0.01752032861094811	0.016039343895828093	0.014865733366865063	0.02084555844301003	0.014139212563221282	0.014893676474697515	0.01564814038617375	0.016374661189817532	0.014195098778886188
16s_mas12_part_257	0.011680219073965407	0.01492161958252997	0.012742057171598625	0.012518512308939	0.0	0.012714114063766171	0.015061335121692235	0.012825886495095985	0.014642188504205438	0.014642188504205438	0.01458630228854053	0.01483779025903261	0.01592757146449828	0.014446586749378265	0.013915667700561657	0.01207142258361975	0.0134126917595775	0.013021488249923156	0.017129125101293767	0.014278928102383548	0.01645849051331489	0.014139212563221282	0.018358621845921703	0.01268617095593372	0.015312823092184312	0.017743873473607733	0.013803895269231843	0.013915667700561657	0.01833067873808925	0.013300919328247687	0.009025623829882359	0.014977505798194875	0.012322910554111829	0.012658227848101266	0.011791991505295219	0.014250984994551094	0.01626288875848772	0.013664179730069578	0.015033392013859781	0.015843742141000924	0.01475396093553525	0.016682035375974517	0.013943610808394109	0.016374661189817532	0.013440634867409953	0.014111269455388828	0.014027440131891469	0.013021488249923156	0.01626288875848772	0.014726017827702798	0.012742057171598625	0.02120881884483192	0.015396652415681672	0.013971553916226563	0.016654092268142063	0.018274792522424345	0.012015536367954844	0.016682035375974517	0.016151116327157905	0.015871685248833374	0.011289015564311063	0.016374661189817532	0.013831838377064297	0.015620197278341297	0.014083326347556374	0.017436499287450752	0.018218906306759437	0.012378796769776735	0.01422304188671864	0.015508424847011485	0.014781904043367704	0.016067287003660547
16s_mas12_part_256	0.010869868946824266	0.0098359739570235	0.011149300025148797	0.01288177271076089	0.012714114063766171	0.0	0.01592757146449828	0.01296560203425825	0.013468577975242407	0.01288177271076089	0.013021488249923156	0.01601140078799564	0.015145164445189594	0.016123173219325455	0.014558359180708079	0.011233129348646157	0.0152010506608545	0.010981641378154078	0.01645849051331489	0.014027440131891469	0.01296560203425825	0.012797943387263531	0.014698074719870344	0.012546455416771454	0.013692122837902032	0.01841450806158661	0.013077374465588062	0.01349652108307486	0.012797943387263531	0.0116243328583005	0.011484617319138234	0.012909715818593345	0.009975689496185765	0.01243468298544164	0.009500656663034063	0.013524464190907312	0.015480481739179031	0.013859781484896751	0.013384748651745047	0.00966831531002878	0.016095230111493	0.016877637130801686	0.013692122837902032	0.015424595523514125	0.012993545142090702	0.013021488249923156	0.01243468298544164	0.011372844887808422	0.013356805543912593	0.017548271718780564	0.015480481739179031	0.01886159778690586	0.011680219073965407	0.012406739877609188	0.018973370218235672	0.015536367954843937	0.013440634867409953	0.017101181993461313	0.015480481739179031	0.01796741833626736	0.011680219073965407	0.012909715818593345	0.014334814318048453	0.011400787995640874	0.012742057171598625	0.013859781484896751	0.014362757425880907	0.012127308799284656	0.015089278229524689	0.012211138122782015	0.013692122837902032	0.015089278229524689
16s_mas12_part_233	0.015396652415681672	0.017715930365775283	0.016067287003660547	0.014167155671053734	0.015061335121692235	0.01592757146449828	0.0	0.016207002542822813	0.01869393913991114	0.017101181993461313	0.02028669628636097	0.01886159778690586	0.017827702797105095	0.01629083186632017	0.017129125101293767	0.016095230111493	0.02134853438399419	0.013021488249923156	0.021683851677983625	0.01718501131695867	0.01670997848380697	0.01690558023863414	0.019588118590549642	0.01690558023863414	0.01930868751222511	0.01905719954173303	0.017492385503115656	0.01813507698326208	0.01933663062005756	0.017324726856120937	0.015228993768686954	0.017324726856120937	0.017268840640456033	0.01763210104227792	0.017660044150110375	0.01735266996395339	0.014977505798194875	0.0134126917595775	0.01707323888562886	0.01779975968927264	0.01592757146449828	0.016961466454299048	0.01673792159163942	0.019867549668874173	0.015899628356665828	0.01492161958252997	0.01788358901277	0.014530416072875625	0.020202866962863608	0.01724089753262358	0.012294967446279375	0.02109704641350211	0.01724089753262358	0.018554223600748876	0.016346718081985078	0.02322072260876855	0.018358621845921703	0.018805711571240953	0.019588118590549642	0.016877637130801686	0.01467013161203789	0.016765864699471875	0.01858216670858133	0.019727834129711908	0.013468577975242407	0.019085142649565484	0.01930868751222511	0.01724089753262358	0.015396652415681672	0.018665996032078688	0.016430547405482436	0.016346718081985078
16s_mas12_part_023	0.012797943387263531	0.012099365691452204	0.013384748651745047	0.015536367954843937	0.012825886495095985	0.01296560203425825	0.016207002542822813	0.0	0.017045295777796406	0.016654092268142063	0.014334814318048453	0.012770000279431079	0.014809847151200156	0.016877637130801686	0.015759912817503562	0.013189146896917876	0.017101181993461313	0.01349652108307486	0.020174923855031158	0.01458630228854053	0.017045295777796406	0.012909715818593345	0.014446586749378265	0.011903763936625032	0.014558359180708079	0.01763210104227792	0.010338949898007656	0.017995361444099814	0.010506608545002375	0.012462626093274094	0.01243468298544164	0.014977505798194875	0.014362757425880907	0.013943610808394109	0.01207142258361975	0.013608293514404672	0.014362757425880907	0.013720065945734484	0.017101181993461313	0.013161203789085422	0.014083326347556374	0.013692122837902032	0.01260234163243636	0.01718501131695867	0.014278928102383548	0.011093413809483891	0.013720065945734484	0.012797943387263531	0.016933523346466594	0.013971553916226563	0.012909715818593345	0.019644004806214546	0.011177243132981251	0.01617905943499036	0.017101181993461313	0.01439070053371336	0.013692122837902032	0.013356805543912593	0.016598206052477155	0.014446586749378265	0.015508424847011485	0.01592757146449828	0.01545253863134658	0.014977505798194875	0.013803895269231843	0.017743873473607733	0.016570262944644705	0.012825886495095985	0.01439070053371336	0.014698074719870344	0.01483779025903261	0.01545253863134658
16s_mas12_part_010	0.012770000279431079	0.0152010506608545	0.015340766200016766	0.0169894095621315	0.014642188504205438	0.013468577975242407	0.01869393913991114	0.017045295777796406	0.0	0.017324726856120937	0.017576214826613017	0.0187777684634085	0.015676083494006204	0.01629083186632017	0.017771816581440187	0.01260234163243636	0.015312823092184312	0.01349652108307486	0.014893676474697515	0.012909715818593345	0.014530416072875625	0.017576214826613017	0.017268840640456033	0.013272976220415235	0.01833067873808925	0.01902925643390058	0.015899628356665828	0.017464442395283202	0.019085142649565484	0.01690558023863414	0.013608293514404672	0.01536870930784922	0.012518512308939	0.015340766200016766	0.011959650152289938	0.016486433621147344	0.017939475228434906	0.018721882247743595	0.01268617095593372	0.01617905943499036	0.016877637130801686	0.018163020091094533	0.012322910554111829	0.02028669628636097	0.01215525190711711	0.01467013161203789	0.016849694022969236	0.013300919328247687	0.01707323888562886	0.016374661189817532	0.01483779025903261	0.019532232374884734	0.01422304188671864	0.013775952161399391	0.020482298041188143	0.01598345768016319	0.01617905943499036	0.0169894095621315	0.01439070053371336	0.020538184256853047	0.015005448906027329	0.02028669628636097	0.018665996032078688	0.012490569201106546	0.016765864699471875	0.015955514572330735	0.013859781484896751	0.014139212563221282	0.012714114063766171	0.018190963198926983	0.013887724592729203	0.014083326347556374
16s_mas12_part_247	0.012127308799284656	0.013105317573420516	0.016961466454299048	0.012909715818593345	0.014642188504205438	0.01288177271076089	0.017101181993461313	0.016654092268142063	0.017324726856120937	0.0	0.017017352669963952	0.017939475228434906	0.014893676474697515	0.013021488249923156	0.013021488249923156	0.016486433621147344	0.01950428926705228	0.013300919328247687	0.020705842903847766	0.01752032861094811	0.016039343895828093	0.014195098778886188	0.018749825355576046	0.01670997848380697	0.012378796769776735	0.017324726856120937	0.015340766200016766	0.016486433621147344	0.01573196970967111	0.012490569201106546	0.013720065945734484	0.01422304188671864	0.015228993768686954	0.015228993768686954	0.013189146896917876	0.014139212563221282	0.016654092268142063	0.015759912817503562	0.014083326347556374	0.012239081230614469	0.013692122837902032	0.012993545142090702	0.016123173219325455	0.012993545142090702	0.01581579903316847	0.01439070053371336	0.016207002542822813	0.014139212563221282	0.015061335121692235	0.014083326347556374	0.015256936876519406	0.024729650431721015	0.01581579903316847	0.016151116327157905	0.018526280492916422	0.021292648168329282	0.014362757425880907	0.01679380780730433	0.017604157934445468	0.01788358901277	0.012993545142090702	0.015676083494006204	0.008606477212395562	0.013971553916226563	0.014530416072875625	0.01679380780730433	0.019923435884539077	0.013831838377064297	0.01564814038617375	0.015089278229524689	0.017660044150110375	0.01679380780730433
