	16s_mas12_part_242	16s_mas12_part_238	16s_mas12_part_235	16s_mas12_part_025	16s_mas12_part_257	16s_mas12_part_256	16s_mas12_part_233	16s_mas12_part_023	16s_mas12_part_010	16s_mas12_part_247	16s_mas12_part_001	16s_mas12_part_014	16s_mas12_part_216	16s_mas12_part_229	16s_mas12_part_241	16s_mas12_part_201	16s_mas12_part_033	16s_mas12_part_031	16s_mas12_part_040	16s_mas12_part_030	16s_mas12_part_258	16s_mas12_part_037	16s_mas12_part_026	16s_mas12_part_234	16s_mas12_part_024	16s_mas12_part_236	16s_mas12_part_028	16s_mas12_part_038	16s_mas12_part_032	16s_mas12_part_039	16s_mas12_part_002	16s_mas12_part_003	16s_mas12_part_034	16s_mas12_part_261	16s_mas12_part_027	16s_mas12_part_050	16s_mas12_part_006	16s_mas12_part_044	16s_mas12_part_065	16s_mas12_part_004	16s_mas12_part_060	16s_mas12_part_054	16s_mas12_part_005	16s_mas12_part_007	16s_mas12_part_063	16s_mas12_part_070	16s_mas12_part_046	16s_mas12_part_055	16s_mas12_part_068	16s_mas12_part_008	16s_mas12_part_062	16s_mas12_part_018	16s_mas12_part_016	16s_mas12_part_035	16s_mas12_part_036	16s_mas12_part_056	16s_mas12_part_089	16s_mas12_part_041	16s_mas12_part_009	16s_mas12_part_051	16s_mas12_part_045	16s_mas12_part_208	16s_mas12_part_017	16s_mas12_part_015	16s_mas12_part_013	16s_mas12_part_213	16s_mas12_part_019	16s_mas12_part_020	16s_mas12_part_021	16s_mas12_part_221	16s_mas12_part_022	16s_mas12_part_231
16s_mas12_part_242	0	0.1523569524288177	0.09208133071660995	0.07787226140499115	0.1523569524288177	0.138140857219696	0.0144903277978301	0	0.01421611290425062	0.01533411908894777	0.0913161039352417	0.0770999938249588	0.0913161039352417	0.09208133071660995	0.1523569524288177	0.1523569524288177	0.01591899618506432	0.07553116977214813	0.1526215821504593	0.09275961667299271	0.0913161039352417	0.0913161039352417	0.02895226143300533	0.1381408423185349	0.1523569524288177	0.09411067515611649	0.0770999938249588	0.1384002268314362	0	0.07525696605443954	0.07966198772192001	0.07818407565355301	0.0770999938249588	0.0770999938249588	0.0913161039352417	0.1523569524288177	0.1523569673299789	0.01499934028834105	0.1381408423185349	0.01744033768773079	0.1523569524288177	0.0168945137411356	0.01613667234778404	0.1526163220405579	0.06104085594415665	0.0770999938249588	0.09208133071660995	0.138415053486824	0.1526163220405579	0.0913161039352417	0.07737419754266739	0.07553116977214813	0.0913161039352417	0	0.08504965901374817	0.07525696605443954	0.01533411908894777	0.09208133071660995	0.0008104322478175163	0.003531971015036106	0.09275961667299271	0.09275961667299271	0.1523569524288177	0.07525696605443954	0.09266657382249832	0.01421611290425062	0.06182235851883888	0.02100984379649162	0	0.1523569524288177	0.09863888472318649	0.1795306354761124
16s_mas12_part_238	0.1523569524288177	0	0.06735897064208984	0.08172234147787094	0	0.01649470813572407	0.1404111683368683	0.1523569524288177	0.1401329934597015	0.1400920152664185	0.0671750083565712	0.08154400438070297	0.0671750083565712	0.06735897064208984	0	0	0.1391354948282242	0.08367101848125458	0.0003121829067822546	0.06569080054759979	0.0671750083565712	0.0671750083565712	0.1531693935394287	0.01649470441043377	0	0.06848493963479996	0.08154400438070297	0.01679565198719501	0.1523569524288177	0.0833745002746582	0.08253749459981918	0.08149727433919907	0.08154400438070297	0.08154400438070297	0.0671750083565712	0	4.448722723537912e-09	0.1408615410327911	0.01649470254778862	0.1414880454540253	2.224361361768956e-09	0.1410038322210312	0.1408033967018127	0.0003059911541640759	0.09725246578454971	0.08154400438070297	0.06735897064208984	0.01681286841630936	0.0003059911541640759	0.0671750083565712	0.0818411186337471	0.08367101848125458	0.0671750083565712	0.1523569524288177	0.09386763721704483	0.0833745002746582	0.1400920152664185	0.06735897064208984	0.1525088548660278	0.1539475619792938	0.06569080054759979	0.06569080054759979	0	0.0833745002746582	0.0674285814166069	0.1401329934597015	0.09806331247091293	0.1696468740701675	0.1523569524288177	0	0.07544107735157013	0.03760339692234993
16s_mas12_part_235	0.09208133071660995	0.06735897064208984	0	0.01540074869990349	0.06735897064208984	0.08172234892845154	0.07927273213863373	0.09208133071660995	0.07899469882249832	0.07947823405265808	0.0008918264065869153	0.01627357862889767	0.0008918264065869153	2.074530991436063e-09	0.06735897064208984	0.06735897064208984	0.08010655641555786	0.140567421913147	0.06765013188123703	0.001785473665222526	0.0008918284438550472	0.0008918264065869153	0.09295114129781723	0.08172234147787094	0.06735897064208984	0.003456991165876389	0.01627357862889767	0.08200333267450333	0.09208133071660995	0.140289306640625	0.01849330775439739	0.01680523715913296	0.01627357862889767	0.01627357862889767	0.0008918264065869153	0.06735897064208984	0.06735897809267044	0.07975489646196365	0.08172234147787094	0.08149292320013046	0.06735897064208984	0.08097542822360992	0.08023917675018311	0.06764435768127441	0.1525088548660278	0.01627357862889767	0	0.08201940357685089	0.06764435768127441	0.0008918264065869153	0.01657053828239441	0.140567421913147	0.0008918264065869153	0.09208133071660995	0.1495593041181564	0.140289306640625	0.07947823405265808	0	0.09129974246025085	0.09479029476642609	0.001785471104085445	0.001785475295037031	0.06735897064208984	0.140289306640625	0.001737110549584031	0.07899469882249832	0.153239369392395	0.1096755191683769	0.09208133071660995	0.06735897064208984	0.009740482084453106	0.1001501902937889
16s_mas12_part_025	0.07787226140499115	0.08172234147787094	0.01540074869990349	0	0.08172234147787094	0.06632160395383835	0.09235541522502899	0.07787226140499115	0.09208133071660995	0.09255506843328476	0.01627357862889767	0.0008780963253229856	0.01627357862889767	0.01540075056254864	0.08172234147787094	0.08172234147787094	0.09318152070045471	0.1527830213308334	0.08200901746749878	0.01715872436761856	0.01627358049154282	0.01627357862889767	0.1056468933820724	0.06632159650325775	0.08172234147787094	0.01877372711896896	0.0008780963253229856	0.06660258769989014	0.07787226140499115	0.1525088548660278	0.003123438451439142	0.001413488411344588	0.0008780963253229856	0.0008780963253229856	0.01627357862889767	0.08172234147787094	0.08172234892845154	0.09282397478818893	0.06632159650325775	0.09451679140329361	0.08172234892845154	0.09401386231184006	0.09329456090927124	0.08200332522392273	0.1382952928543091	0.0008780963253229856	0.01540074869990349	0.0666186586022377	0.08200332522392273	0.01627357862889767	0.001175055163912475	0.1527830213308334	0.01627357862889767	0.07787226140499115	0.1615259945392609	0.1525088548660278	0.09255506843328476	0.01540074869990349	0.0770861804485321	0.08061090856790543	0.01715872250497341	0.01715872623026371	0.08172234147787094	0.1525088548660278	0.01710212416946888	0.09208133071660995	0.139033704996109	0.0957493856549263	0.07787226140499115	0.08172234147787094	0.02485304139554501	0.1135285422205925
16s_mas12_part_257	0.1523569524288177	0	0.06735897064208984	0.08172234147787094	0	0.01649470813572407	0.1404111683368683	0.1523569524288177	0.1401329934597015	0.1400920152664185	0.0671750083565712	0.08154400438070297	0.0671750083565712	0.06735897064208984	0	0	0.1391354948282242	0.08367101848125458	0.0003121829067822546	0.06569080054759979	0.0671750083565712	0.0671750083565712	0.1531693935394287	0.01649470441043377	0	0.06848493963479996	0.08154400438070297	0.01679565198719501	0.1523569524288177	0.0833745002746582	0.08253749459981918	0.08149727433919907	0.08154400438070297	0.08154400438070297	0.0671750083565712	0	4.448722723537912e-09	0.1408615410327911	0.01649470254778862	0.1414880454540253	2.224361361768956e-09	0.1410038322210312	0.1408033967018127	0.0003059911541640759	0.09725246578454971	0.08154400438070297	0.06735897064208984	0.01681286841630936	0.0003059911541640759	0.0671750083565712	0.0818411186337471	0.08367101848125458	0.0671750083565712	0.1523569524288177	0.09386763721704483	0.0833745002746582	0.1400920152664185	0.06735897064208984	0.1525088548660278	0.1539475619792938	0.06569080054759979	0.06569080054759979	0	0.0833745002746582	0.0674285814166069	0.1401329934597015	0.09806331247091293	0.1696468740701675	0.1523569524288177	0	0.07544107735157013	0.03760339692234993
16s_mas12_part_256	0.138140857219696	0.01649470813572407	0.08172234892845154	0.06632160395383835	0.01649470813572407	0	0.1526311635971069	0.138140857219696	0.1523569673299789	0.152317151427269	0.08154401183128357	0.06614027172327042	0.08154401183128357	0.08172234892845154	0.01649470813572407	0.01649470813572407	0.1513913422822952	0.09754450619220734	0.01680174097418785	0.08010520786046982	0.08154401183128357	0.08154401183128357	0.1650280803442001	6.563013688065666e-09	0.01649470813572407	0.08281823992729187	0.06614027172327042	0.0003009439387824386	0.138140857219696	0.09725247323513031	0.06715042144060135	0.06609275937080383	0.06614027172327042	0.06614027172327042	0.08154401183128357	0.01649470813572407	0.01649470254778862	0.1530688405036926	4.375342310680708e-09	0.1536737829446793	0.01649470999836922	0.1532032340764999	0.1530084609985352	0.01679565198719501	0.08211218565702438	0.06614027172327042	0.08172234892845154	0.0003181613283231854	0.01679565198719501	0.08154401183128357	0.06643738597631454	0.09754450619220734	0.08154401183128357	0.138140857219696	0.1074404567480087	0.09725247323513031	0.152317151427269	0.08172234892845154	0.1382952928543091	0.1397535353899002	0.08010520786046982	0.08010520786046982	0.01649470813572407	0.09725247323513031	0.08179440349340439	0.1523569673299789	0.0829319953918457	0.1557207405567169	0.138140857219696	0.01649470813572407	0.08955846726894379	0.05289039015769958
16s_mas12_part_233	0.0144903277978301	0.1404111683368683	0.07927273213863373	0.09235541522502899	0.1404111683368683	0.1526311635971069	0	0.0144903277978301	0.0002781685616355389	0.00141991616692394	0.07849002629518509	0.09159031510353088	0.07849002629518509	0.07927273213863373	0.1404111683368683	0.1404111683368683	0.00200560805387795	0.06193836778402328	0.1406795978546143	0.0799543634057045	0.07849002629518509	0.07849002629518509	0.01543492171913385	0.1526311784982681	0.1404111683368683	0.08134891092777252	0.09159031510353088	0.152890533208847	0.0144903277978301	0.06219929829239845	0.09412549436092377	0.09266658872365952	0.09159031510353088	0.09159031510353088	0.07849002629518509	0.1404111683368683	0.1404111534357071	0.0005240919999778271	0.1526311784982681	0.003582785604521632	0.1404111683368683	0.003021294018253684	0.002245529089123011	0.1406742632389069	0.07553117722272873	0.09159031510353088	0.07927273213863373	0.1523987501859665	0.1406742632389069	0.07849002629518509	0.09134116023778915	0.06193836778402328	0.07849002629518509	0.0144903277978301	0.07173354178667068	0.06219929829239845	0.00141991616692394	0.07927273213863373	0.01529357954859734	0.01744511350989342	0.0799543634057045	0.0799543634057045	0.1404111683368683	0.06219929829239845	0.07933301478624344	0.0002781685616355389	0.07630462199449539	0.03520020470023155	0.0144903277978301	0.1404111683368683	0.08602238446474075	0.1683522760868073
16s_mas12_part_023	0	0.1523569524288177	0.09208133071660995	0.07787226140499115	0.1523569524288177	0.138140857219696	0.0144903277978301	0	0.01421611290425062	0.01533411908894777	0.0913161039352417	0.0770999938249588	0.0913161039352417	0.09208133071660995	0.1523569524288177	0.1523569524288177	0.01591899618506432	0.07553116977214813	0.1526215821504593	0.09275961667299271	0.0913161039352417	0.0913161039352417	0.02895226143300533	0.1381408423185349	0.1523569524288177	0.09411067515611649	0.0770999938249588	0.1384002268314362	0	0.07525696605443954	0.07966198772192001	0.07818407565355301	0.0770999938249588	0.0770999938249588	0.0913161039352417	0.1523569524288177	0.1523569673299789	0.01499934028834105	0.1381408423185349	0.01744033768773079	0.1523569524288177	0.0168945137411356	0.01613667234778404	0.1526163220405579	0.06104085594415665	0.0770999938249588	0.09208133071660995	0.138415053486824	0.1526163220405579	0.0913161039352417	0.07737419754266739	0.07553116977214813	0.0913161039352417	0	0.08504965901374817	0.07525696605443954	0.01533411908894777	0.09208133071660995	0.0008104322478175163	0.003531971015036106	0.09275961667299271	0.09275961667299271	0.1523569524288177	0.07525696605443954	0.09266657382249832	0.01421611290425062	0.06182235851883888	0.02100984379649162	0	0.1523569524288177	0.09863888472318649	0.1795306354761124
16s_mas12_part_010	0.01421611290425062	0.1401329934597015	0.07899469882249832	0.09208133071660995	0.1401329934597015	0.1523569673299789	0.0002781685616355389	0.01421611290425062	0	0.001141899731010199	0.07821185886859894	0.0913161039352417	0.07821185886859894	0.07899469882249832	0.1401329934597015	0.1401329934597015	0.001727439346723258	0.06219929456710815	0.1404014378786087	0.07967619597911835	0.07821185886859894	0.07821185886859894	0.01516096945852041	0.1523569524288177	0.1401329934597015	0.08107126504182816	0.0913161039352417	0.1526163369417191	0.01421611290425062	0.0619211308658123	0.09385178238153458	0.09239251911640167	0.0913161039352417	0.0913161039352417	0.07821185886859894	0.1401329934597015	0.1401330083608627	0.0008019652450457215	0.1523569524288177	0.003305295947939157	0.1401329934597015	0.00274364766664803	0.001967742573469877	0.1403961032629013	0.07525696605443954	0.0913161039352417	0.07899469882249832	0.1526311784982681	0.1403961032629013	0.07821185886859894	0.09159031510353088	0.06219929456710815	0.07821185886859894	0.01421611290425062	0.07198911905288696	0.0619211308658123	0.001141899731010199	0.07899469882249832	0.01501950901001692	0.01771388947963715	0.07967619597911835	0.07967619597911835	0.1401329934597015	0.0619211308658123	0.07958897203207016	0	0.07603055983781815	0.03493167087435722	0.01421611290425062	0.1401329934597015	0.08574648946523666	0.1680831462144852
16s_mas12_part_247	0.01533411908894777	0.1400920152664185	0.07947823405265808	0.09255506843328476	0.1400920152664185	0.152317151427269	0.00141991616692394	0.01533411908894777	0.001141899731010199	0	0.07931095361709595	0.09239251166582108	0.07931095361709595	0.07947823405265808	0.1400920152664185	0.1400920152664185	0.001679881010204554	0.0621546171605587	0.1403604745864868	0.07963234931230545	0.07931096106767654	0.07931095361709595	0.01627739891409874	0.1523171365261078	0.1400920152664185	0.0810275673866272	0.09239251166582108	0.1525765359401703	0.01533411908894777	0.06187644228339195	0.09380930662155151	0.09132038801908493	0.09239251166582108	0.09239251166582108	0.07931095361709595	0.1400920152664185	0.1400920301675797	0.001942828414030373	0.1523171365261078	0.003257928881794214	0.1400920152664185	0.002696226816624403	0.0008272782433778048	0.1403551548719406	0.07521353662014008	0.09239251166582108	0.07947823405265808	0.1525913625955582	0.1403551548719406	0.07931095361709595	0.09266657382249832	0.0621546171605587	0.07931095361709595	0.01533411908894777	0.07194536179304123	0.06187644228339195	0	0.07947823405265808	0.01551048457622528	0.01766787096858025	0.07963234186172485	0.07963234186172485	0.1400920152664185	0.06187644228339195	0.07849376648664474	0.001141899731010199	0.07598719000816345	0.03540835902094841	0.01533411908894777	0.1400920152664185	0.08683253824710846	0.1680447906255722
