	16s_mas12_part_242	16s_mas12_part_238	16s_mas12_part_235	16s_mas12_part_025	16s_mas12_part_257	16s_mas12_part_256	16s_mas12_part_233	16s_mas12_part_023	16s_mas12_part_010	16s_mas12_part_247	16s_mas12_part_001	16s_mas12_part_014	16s_mas12_part_216	16s_mas12_part_229	16s_mas12_part_241	16s_mas12_part_201	16s_mas12_part_033	16s_mas12_part_031	16s_mas12_part_040	16s_mas12_part_030	16s_mas12_part_258	16s_mas12_part_037	16s_mas12_part_026	16s_mas12_part_234	16s_mas12_part_024	16s_mas12_part_236	16s_mas12_part_028	16s_mas12_part_038	16s_mas12_part_032	16s_mas12_part_039	16s_mas12_part_002	16s_mas12_part_003	16s_mas12_part_034	16s_mas12_part_261	16s_mas12_part_027	16s_mas12_part_050	16s_mas12_part_006	16s_mas12_part_044	16s_mas12_part_065	16s_mas12_part_004	16s_mas12_part_060	16s_mas12_part_054	16s_mas12_part_005	16s_mas12_part_007	16s_mas12_part_063	16s_mas12_part_070	16s_mas12_part_046	16s_mas12_part_055	16s_mas12_part_068	16s_mas12_part_008	16s_mas12_part_062	16s_mas12_part_018	16s_mas12_part_016	16s_mas12_part_035	16s_mas12_part_036	16s_mas12_part_056	16s_mas12_part_089	16s_mas12_part_041	16s_mas12_part_009	16s_mas12_part_051	16s_mas12_part_045	16s_mas12_part_208	16s_mas12_part_017	16s_mas12_part_015	16s_mas12_part_013	16s_mas12_part_213	16s_mas12_part_019	16s_mas12_part_020	16s_mas12_part_021	16s_mas12_part_221	16s_mas12_part_022	16s_mas12_part_231
16s_mas12_part_242	0	0.001892433618195355	0.001878429320640862	0.002983656944707036	0.001817270996980369	0.001131421653553843	0.001351547427475452	0.002730046631768346	0.001873446395620704	0.001924007199704647	0.004241422284394503	0.004820997826755047	0.002310715382918715	0.002880992600694299	0.001229353132657707	0.001818735618144274	0.001824340084567666	0.001429209718480706	0.001911601517349482	0.003546117339283228	0.001983204623684287	0.002184466691687703	0.00179186137393117	0.003486487083137035	0.001124340575188398	0.003134079743176699	0.003581676864996552	0.002520998939871788	0.001712041790597141	0.002438182709738612	0.002545700641348958	0.00165990146342665	0.002117030322551727	0.002737147733569145	0.0020505515858531	0.002703648060560226	0.001774071366526186	0.002129009924829006	0.002813802100718021	0.001142739783972502	0.002368904417380691	0.002611343283206224	0.001929672434926033	0.001973748207092285	0.0009706926066428423	0.002738452749326825	0.001834581256844103	0.001673849066719413	0.001314259949140251	0.001622622483409941	0.001855125417932868	0.001630558632314205	0.00148356962017715	0.003258857876062393	0.002385293832048774	0.004468067549169064	0.00284738908521831	0.00346093880943954	0.003377923276275396	0.003456969279795885	0.001978126121684909	0.002588255563750863	0.00116217858158052	0.001852262066677213	0.001643651863560081	0.004468491766601801	0.003226722590625286	0.001801434089429677	0.001696185208857059	0.001762877567671239	0.002438483061268926	0.002253496320918202
16s_mas12_part_238	0.001892433618195355	0	0.001749878167174757	0.003108441131189466	0.001132468925788999	0.001983480295166373	0.002169135026633739	0.00210118992254138	0.001837713993154466	0.002802467439323664	0.003430460812523961	0.004018011037260294	0.002243898110464215	0.003406488336622715	0.00120656203944236	0.001778251840732992	0.001993837533518672	0.00200892286375165	0.00248720170930028	0.002482993295416236	0.002273418009281158	0.001595903187990189	0.002549626398831606	0.002289763884618878	0.00194093061145395	0.002116408199071884	0.003391062142327428	0.002836109139025211	0.001681132358498871	0.002182597294449806	0.001480670529417694	0.002216641325503588	0.001821073121391237	0.001790202222764492	0.001276739058084786	0.002853164914995432	0.00246566953137517	0.001882400130853057	0.003486543660983443	0.001824508770368993	0.001893995213322341	0.002027176786214113	0.001497451215982437	0.00185343564953655	0.001652117352932692	0.002391746733337641	0.001942843431606889	0.000782409799285233	0.001831987989135087	0.001605283818207681	0.001528168795630336	0.001716368831694126	0.001558423973619938	0.002336640376597643	0.002011732431128621	0.00350411725230515	0.001960228197276592	0.002324049128219485	0.002896284218877554	0.002668141387403011	0.001927947741933167	0.002445615595206618	0.0012622713111341	0.001917189219966531	0.002253154059872031	0.004289521835744381	0.003656169166788459	0.002120568184182048	0.001648892881348729	0.002011478180065751	0.001915910979732871	0.001780108781531453
16s_mas12_part_235	0.001878429320640862	0.001749878167174757	0	0.002759214956313372	0.001550615997985005	0.001432181452400982	0.002391595393419266	0.002601445186883211	0.002581283915787935	0.002486082026734948	0.003932681865990162	0.004429338965564966	0.002253744751214981	0.003244707826524973	0.001317971851676702	0.002824427559971809	0.002916040830314159	0.002732474356889725	0.003376649226993322	0.002956183161586523	0.001905557001009583	0.001453059841878712	0.00314993248321116	0.003401279682293534	0.002495583146810532	0.002771090716123581	0.003764653811231256	0.002422149293124676	0.001417833962477744	0.00161736470181495	0.001521904719993472	0.002528836950659752	0.001717296661809087	0.002418242394924164	0.00244813715107739	0.003478652564808726	0.003078504465520382	0.002337553771212697	0.003576084040105343	0.002083663130179048	0.00159886316396296	0.002438819734379649	0.002124346559867263	0.002173527143895626	0.002128658583387733	0.002605902496725321	0.002638256642967463	0.001378678367473185	0.002602706663310528	0.001279270625673234	0.002545275259763002	0.002555551938712597	0.002121387748047709	0.002317714039236307	0.003279190044850111	0.004040791653096676	0.002497596200555563	0.003149019554257393	0.003168433206155896	0.00332651543430984	0.001891148975118995	0.002404596656560898	0.001218533026985824	0.00289363507181406	0.001959522720426321	0.003415971528738737	0.004252366721630096	0.002764304168522358	0.002293678466230631	0.002175117144361138	0.002766408026218414	0.002376960124820471
16s_mas12_part_025	0.002983656944707036	0.003108441131189466	0.002759214956313372	0	0.002711587818339467	0.002537564374506474	0.00300517282448709	0.004479724913835526	0.004264654591679573	0.001458430662751198	0.005498176440596581	0.006467606872320175	0.003627403406426311	0.002209494821727276	0.002815430052578449	0.003512893570587039	0.004219519905745983	0.003873904934152961	0.004411107860505581	0.005208615679293871	0.003425268223509192	0.002210519509389997	0.004243619274348021	0.005125558935105801	0.003576751798391342	0.004041179548949003	0.005733889527618885	0.001176571822725236	0.003294511698186398	0.002840032568201423	0.002313722390681505	0.003793576499447227	0.002327159745618701	0.004298406653106213	0.003528173081576824	0.004866166040301323	0.003963146358728409	0.003712483681738377	0.00276650651358068	0.00348842958919704	0.002483169082552195	0.004490677732974291	0.00376451201736927	0.00287547754123807	0.003300556913018227	0.004603569395840168	0.004228300414979458	0.003110086545348167	0.003442600136622787	0.003146164352074265	0.003356482367962599	0.003658955683931708	0.003741274354979396	0.001746816327795386	0.004268051125109196	0.006253873463720083	0.003722032299265265	0.005139807239174843	0.005381026305258274	0.005432886071503162	0.002178204478695989	0.002242918591946363	0.002564298920333385	0.004232194740325212	0.002561239991337061	0.003442196641117334	0.005775077268481255	0.003938429988920689	0.003587990067899227	0.003212072420865297	0.003703546710312366	0.004179453477263451
16s_mas12_part_257	0.001817270996980369	0.001132468925788999	0.001550615997985005	0.002711587818339467	0	0.001908906735479832	0.001956956461071968	0.002841952024027705	0.002407119609415531	0.00255004852078855	0.003629202721640468	0.00428357906639576	0.002259428845718503	0.003305820049718022	0.001009563216939569	0.00207759952172637	0.002143083373084664	0.002291920362040401	0.002835540100932121	0.00313721876591444	0.002240570262074471	0.001939580542966723	0.002997108735144138	0.003095109015703201	0.002077046548947692	0.00261139334179461	0.003697279607877135	0.002388356951996684	0.002134802984073758	0.001864815596491098	0.001307338592596352	0.002256684703752398	0.001551520312204957	0.002272153738886118	0.001731463242322206	0.003236624412238598	0.002587830647826195	0.00205378164537251	0.003695338498800993	0.002034116070717573	0.001815258641727269	0.002464182674884796	0.001895639812573791	0.001478389836847782	0.001707283547148108	0.00283027021214366	0.00234874477609992	0.001113346894271672	0.00199445616453886	0.001708304276689887	0.001599982380867004	0.002330132061615586	0.002257744548842311	0.002154233166947961	0.002285217866301537	0.0041983462870121	0.001937988330610096	0.003034411696717143	0.00326805142685771	0.003316861810162663	0.001624576281756163	0.002259901026263833	0.001172188203781843	0.002341783838346601	0.002247063210234046	0.003964659292250872	0.004037260543555021	0.002551025245338678	0.002220644149929285	0.002041591797024012	0.002264412119984627	0.002283715410158038
16s_mas12_part_256	0.001131421653553843	0.001983480295166373	0.001432181452400982	0.002537564374506474	0.001908906735479832	0	0.001591868349350989	0.003073309548199177	0.002325743436813354	0.001854269998148084	0.004799911752343178	0.005116184242069721	0.002672890666872263	0.002434448106214404	0.001666165539063513	0.001921063521876931	0.002308219438418746	0.00206641317345202	0.002603094559162855	0.003815644420683384	0.001579297007992864	0.001727173570543528	0.002444262383505702	0.00366832735016942	0.001779559534043074	0.003120045643299818	0.004217450506985188	0.001976556610316038	0.001959344372153282	0.002247777301818132	0.001926961238496006	0.001948263379745185	0.001317288842983544	0.002983139827847481	0.002337370067834854	0.003034809837117791	0.002238989109173417	0.002410630229860544	0.002361463150009513	0.001654046471230686	0.00202577980235219	0.002951551461592317	0.002325716894119978	0.002080587903037667	0.001469913637265563	0.003213904798030853	0.002307138638570905	0.001795060699805617	0.001798261539079249	0.001822426565922797	0.002437394112348557	0.00172595283947885	0.001787414192222059	0.00264304131269455	0.002863500500097871	0.004586952738463879	0.003414078615605831	0.003701414912939072	0.004013719968497753	0.004040614701807499	0.001658579567447305	0.001781564787961543	0.00123469578102231	0.002180760027840734	0.001056567765772343	0.004143955186009407	0.003492932068184018	0.002387970918789506	0.002450356259942055	0.002030937001109123	0.002385330619290471	0.002809824422001839
16s_mas12_part_233	0.001351547427475452	0.002169135026633739	0.002391595393419266	0.00300517282448709	0.001956956461071968	0.001591868349350989	0	0.002960324753075838	0.002591021824628115	0.002380734775215387	0.004325993359088898	0.00486307917162776	0.001895014545880258	0.002915334887802601	0.002025503665208817	0.001639857306145132	0.001870945678092539	0.001408565905876458	0.001761366613209248	0.003527463646605611	0.002338295802474022	0.002587758237496018	0.002180286217480898	0.003642700612545013	0.001891453866846859	0.003597172442823648	0.004097835160791874	0.002506921300664544	0.002540942747145891	0.002852670615538955	0.002725417958572507	0.001568329171277583	0.002272942801937461	0.002792436862364411	0.002104701241478324	0.002634620759636164	0.001276561059057713	0.001950964797288179	0.003400233807042241	0.001709436415694654	0.002755898516625166	0.002822909038513899	0.002190513536334038	0.001740915235131979	0.001298291143029928	0.002795279491692781	0.002093105111271143	0.002219694899395108	0.001583523466251791	0.002400123979896307	0.002354764379560947	0.002052889205515385	0.00231786398217082	0.003355369903147221	0.002145428210496902	0.004704149439930916	0.003006464336067438	0.003677841974422336	0.003858137875795364	0.003711669472977519	0.002081460086628795	0.002655058866366744	0.001779698301106691	0.002255282597616315	0.001860376331023872	0.004798225127160549	0.003486130386590958	0.00238801958039403	0.002300567459315062	0.001385079463943839	0.002463791985064745	0.002619381528347731
16s_mas12_part_023	0.002730046631768346	0.00210118992254138	0.002601445186883211	0.004479724913835526	0.002841952024027705	0.003073309548199177	0.002960324753075838	0	0.00245208153501153	0.004110039211809635	0.002668510656803846	0.002798463217914104	0.002231253543868661	0.004723936785012484	0.002584222937002778	0.002860986161977053	0.002253076061606407	0.002065642038360238	0.002316948957741261	0.002010599011555314	0.003694905433803797	0.003187220543622971	0.00219020526856184	0.001796710886992514	0.002688289619982243	0.003170129377394915	0.002147524617612362	0.004115934018045664	0.001958661479875445	0.00310947559773922	0.003219610778614879	0.003030822845175862	0.003437422681599855	0.001381496549583972	0.002304629422724247	0.002451547188684344	0.002551834331825376	0.002440500073134899	0.004745244048535824	0.002159994561225176	0.002847410505637527	0.001447707647457719	0.001492050010710955	0.002720538061112165	0.002620596904307604	0.001605094177648425	0.002838519401848316	0.00238937302492559	0.002788359532132745	0.00217729969881475	0.002062633633613586	0.002641626866534352	0.002281952882185578	0.003873004112392664	0.002657244680449367	0.002340262057259679	0.002763738855719566	0.00143539160490036	0.002167806029319763	0.001641155453398824	0.003557639662176371	0.004029906820505857	0.002330992138013244	0.002694187918677926	0.00347793847322464	0.005213429220020771	0.002671155147254467	0.002274686470627785	0.002139644464477897	0.002383067971095443	0.00369628774933517	0.001538920449092984
16s_mas12_part_010	0.001873446395620704	0.001837713993154466	0.002581283915787935	0.004264654591679573	0.002407119609415531	0.002325743436813354	0.002591021824628115	0.00245208153501153	0	0.003407912328839302	0.003691377816721797	0.003872153349220753	0.003074567997828126	0.003864712081849575	0.001849512453190982	0.002128028078004718	0.001503565930761397	0.001895793131552637	0.002246174961328506	0.002198418835178018	0.001976558240130544	0.002846861025318503	0.001707181334495544	0.002269454300403595	0.001451221643947065	0.003486136207357049	0.00301753799431026	0.00381065160036087	0.002326912712305784	0.002996656578034163	0.002866464434191585	0.002062798477709293	0.002294879173859954	0.002004918642342091	0.001443253480829298	0.00197238358668983	0.00262314872816205	0.001735893543809652	0.003689856734126806	0.001664050854742527	0.00340059120208025	0.002148599829524755	0.001410080934874713	0.002995165530592203	0.00182703766040504	0.001857700990512967	0.001184055581688881	0.001701740664429963	0.002071616239845753	0.002433840883895755	0.002061042468994856	0.001925260527059436	0.001076662447303534	0.003162190783768892	0.002120818942785263	0.003260835539549589	0.002714793430641294	0.002637555357068777	0.002244016854092479	0.002277674851939082	0.002763501368463039	0.002811647718772292	0.002079976024106145	0.001230260357260704	0.002534532453864813	0.004552798345685005	0.002687577158212662	0.001839590491726995	0.001653596526011825	0.002605280838906765	0.002646878128871322	0.00182879704516381
16s_mas12_part_247	0.001924007199704647	0.002802467439323664	0.002486082026734948	0.001458430662751198	0.00255004852078855	0.001854269998148084	0.002380734775215387	0.004110039211809635	0.003407912328839302	0	0.005339104682207108	0.006212098523974419	0.003386649303138256	0.001872146036475897	0.002351653296500444	0.00312493578530848	0.003521067090332508	0.003054607193917036	0.003610034938901663	0.004759908653795719	0.002720781601965427	0.001820349367335439	0.003396850079298019	0.004842557478696108	0.002816087333485484	0.003879599738866091	0.005004142876714468	0.001337320427410305	0.002892638556659222	0.002750082407146692	0.002087747678160667	0.003080486785620451	0.002090404042974114	0.003808870213106275	0.003216109005734324	0.00412420928478241	0.003195511177182198	0.00310097448527813	0.002107131062075496	0.002559145912528038	0.001956855412572622	0.003815014846622944	0.003316782647743821	0.002687963889911771	0.002555296523496509	0.004120836034417152	0.003373136976733804	0.002738093491643667	0.002942786319181323	0.002737535629421473	0.003240588353946805	0.003065058495849371	0.0030376180075109	0.002165806479752064	0.003552983514964581	0.005786624271422625	0.003881300566717982	0.004644669126719236	0.004754898604005575	0.004820552654564381	0.001848012208938599	0.002253931248560548	0.002056102501228452	0.003388806479051709	0.001782442908734083	0.003444411791861057	0.004933916497975588	0.003005837090313435	0.002872399520128965	0.002820854540914297	0.003590398468077183	0.003468601498752832
