sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
16s_mas12_part_186	48814	35699	73.13	35261	35150	72.01
16s_mas12_part_157	48891	35596	72.81	35083	34999	71.59
16s_mas12_part_242	48782	36474	74.77	35962	35886	73.56
16s_mas12_part_135	48858	35841	73.36	35412	35285	72.22
16s_mas12_part_154	48947	35649	72.83	35108	35054	71.62
16s_mas12_part_172	48799	35334	72.41	34904	34785	71.28
16s_mas12_part_108	48822	35593	72.9	35110	35009	71.71
16s_mas12_part_238	48872	36440	74.56	35930	35884	73.42
16s_mas12_part_235	48887	36470	74.6	36005	35904	73.44
16s_mas12_part_226	48868	36152	73.98	35654	35575	72.8
16s_mas12_part_203	48857	36020	73.73	35516	35463	72.59
16s_mas12_part_225	48735	35772	73.4	35246	35159	72.14
16s_mas12_part_237	48759	36084	74	35582	35512	72.83
16s_mas12_part_214	48777	35370	72.51	34900	34795	71.33
16s_mas12_part_252	48920	36343	74.29	35855	35754	73.09
16s_mas12_part_249	48891	36275	74.2	35778	35667	72.95
16s_mas12_part_240	48860	36060	73.8	35588	35531	72.72
16s_mas12_part_117	48901	36025	73.67	35536	35445	72.48
16s_mas12_part_176	48857	35382	72.42	34892	34822	71.27
16s_mas12_part_140	48750	35633	73.09	35116	35058	71.91
16s_mas12_part_025	48977	36853	75.25	36364	36269	74.05
16s_mas12_part_119	48951	35400	72.32	34944	34813	71.12
16s_mas12_part_245	48849	36001	73.7	35513	35447	72.56
16s_mas12_part_257	48838	36558	74.86	36050	35939	73.59
16s_mas12_part_259	48768	35960	73.74	35441	35371	72.53
16s_mas12_part_256	48951	36651	74.87	36115	36012	73.57
16s_mas12_part_196	48870	35267	72.16	34754	34709	71.02
16s_mas12_part_233	48827	36342	74.43	35865	35807	73.33
16s_mas12_part_023	48990	36603	74.72	36133	35994	73.47
16s_mas12_part_132	48829	35722	73.16	35258	35165	72.02
16s_mas12_part_243	48904	36167	73.96	35636	35537	72.67
16s_mas12_part_248	48880	35823	73.29	35312	35266	72.15
16s_mas12_part_182	48887	36129	73.9	35645	35564	72.75
16s_mas12_part_218	48802	35881	73.52	35348	35271	72.27
16s_mas12_part_010	49045	36949	75.34	36427	36346	74.11
16s_mas12_part_223	48844	35865	73.43	35382	35318	72.31
16s_mas12_part_247	48946	36363	74.29	35906	35802	73.15
16s_mas12_part_001	48923	36722	75.06	36247	36123	73.84
16s_mas12_part_014	48859	36456	74.61	35981	35887	73.45
16s_mas12_part_227	48957	36300	74.15	35825	35710	72.94
16s_mas12_part_246	48817	35858	73.45	35299	35230	72.17
16s_mas12_part_101	48899	35649	72.9	35216	35136	71.85
16s_mas12_part_255	48832	36184	74.1	35696	35577	72.86
16s_mas12_part_190	48940	35955	73.47	35464	35401	72.34
16s_mas12_part_169	48831	35167	72.02	34709	34638	70.93
16s_mas12_part_217	48783	36247	74.3	35770	35651	73.08
16s_mas12_part_183	48790	35545	72.85	35103	35019	71.77
16s_mas12_part_155	48984	36002	73.5	35525	35440	72.35
16s_mas12_part_103	48877	35575	72.78	35091	34992	71.59
16s_mas12_part_158	48908	35588	72.77	35103	35053	71.67
16s_mas12_part_113	48901	35523	72.64	34985	34908	71.39
16s_mas12_part_253	48865	35944	73.56	35400	35335	72.31
16s_mas12_part_137	48881	36277	74.21	35762	35681	73
16s_mas12_part_197	48872	36158	73.99	35655	35578	72.8
16s_mas12_part_147	49012	35696	72.83	35222	35119	71.65
16s_mas12_part_228	48802	35806	73.37	35275	35226	72.18
16s_mas12_part_216	48901	36546	74.73	36034	35949	73.51
16s_mas12_part_229	48929	36568	74.74	36079	35989	73.55
16s_mas12_part_241	48958	36625	74.81	36092	36025	73.58
16s_mas12_part_174	48845	36057	73.82	35511	35465	72.61
16s_mas12_part_239	48854	36195	74.09	35680	35597	72.86
16s_mas12_part_179	48935	35869	73.3	35401	35302	72.14
16s_mas12_part_260	48881	35811	73.26	35305	35252	72.12
16s_mas12_part_201	48907	36431	74.49	35994	35872	73.35
16s_mas12_part_033	48924	36617	74.84	36071	35963	73.51
16s_mas12_part_012	48876	36331	74.33	35818	35759	73.16
16s_mas12_part_222	48847	35856	73.4	35409	35329	72.33
16s_mas12_part_251	48851	36301	74.31	35855	35761	73.2
16s_mas12_part_031	49000	36736	74.97	36232	36153	73.78
